Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
A0A024R994	CPNE3	28.4102	28.0623	28.3825	28.0878	28.183	28.0696	28.4882	28.4229	28.5549	28.5034	27.8078	28.541	27.9726	28.6036	28.6046	28.0939	28.0442	28.5847	28.3221	28.6518	28.3012	28.4872	28.4155	28.6738	28.3429	28.7875	28.3815	28.6572	28.3832	28.2436	28.2182	28.3543	28.2293	28.4227	28.5465	28.4444	28.7181	28.3012	28.2153	27.8313	28.162	28.0577
P36551	CPOX	25.2285	25.4693	25.7994	21.8072	25.8845	25.4579	25.2154	24.9989	25.7535	25.7084	25.709	25.8087	25.8356	25.6408	25.7154	25.796	25.7113	25.7216	25.6476	25.8606	25.6796	25.3874	25.0549	25.2081	25.386	25.2753	24.8699	25.2844	24.8444	24.8931	25.4117	22.9362	25.6252	25.7324	25.3063	25.594	25.963	25.5753	25.9937	25.6477	25.4044	25.609
Q9BRF8	CPPED1	26.265	26.7492	27.707	27.6903	27.8139	27.7163	26.7011	26.7085	26.9109	26.8223	26.6573	26.7036	25.9865	26.7779	26.6486	26.47	25.2824	26.7607	26.6202	26.9878	26.8069	25.4332	25.1675	25.5519	25.4714	25.4884	25.529	24.8484	25.7267	27.9236	27.4956	27.9066	27.55	26.9289	26.6106	26.7142	26.8105	26.5297	25.1081	25.866	25.9356	25.8328
F8WJN3	CPSF6	24.536	26.2961	26.1588	25.9867	26.2098	25.0372	26.2956	26.1389	25.9391	26.1112	26.2073	25.9208	26.244	25.7418	26.0135	26.0009	26.0621	26.1108	26.2123	25.9732	25.7074	26.5823	26.6638	26.6831	26.5489	26.4094	26.7407	26.3129	26.571	26.0825	26.0117	26.0206	26.291	26.225	25.7843	26.1974	25.933	26.1905	25.74	25.7385	26.2168	26.5939
F5H669	CPSF7	23.9478	24.7622	23.3859	22.6011	24.6803	22.8381	22.4219	24.3108	22.986	23.8128	22.9813	24.0256	21.7061	24.911	22.9216	24.1354	23.5886	24.9141	22.0082	21.8208	23.5165	24.4227	23.3557	24.5237	24.327	24.3625	24.0701	23.0464	24.5301	22.7834	23.8267	23.2755	22.9161	24.1369	23.2985	24.4124	23.8615	22.0564	23.8912	21.6762	21.9173	23.9088
A0A024R5F4	CPT1A	23.2236	26.9825	25.4471	25.1833	25.2964	25.5892	25.0209	21.8013	24.9764	24.9495	24.6549	20.004	25.4296	24.8831	25.2103	22.4078	22.1584	25.0883	25.5001	24.7132	23.9986	24.9836	24.472	24.9622	24.5504	24.9094	24.0266	25.1969	24.9507	24.9426	25.5021	25.2474	24.9635	24.5505	24.6498	25.126	24.9826	25.0636	25.2801	23.4313	23.7291	23.0809
A0A140VK13	CPT2	22.1239	23.4558	22.4987	24.0509	23.945	21.8448	22.3469	23.7477	20.7601	21.8397	21.4508	21.1078	23.3104	22.7176	22.3272	23.9693	22.4589	20.9678	21.7996	22.6775	23.3581	23.0083	22.047	22.5476	22.267	22.6381	21.6025	21.3798	21.6341	23.1678	24.2041	23.8578	22.7204	23.9517	22.0589	22.1873	22.5411	22.266	22.7932	25.2258	23.4631	24.5853
P29373	CRABP2	28.8069	29.7445	29.4406	30.2425	29.9116	30.3505	29.3543	29.6197	29.3242	29.8225	28.7191	29.1245	29.2787	29.4333	29.5898	28.9886	29.6392	29.5421	29.7464	29.0498	29.597	29.2813	29.835	29.1874	29.7654	29.4111	29.6634	29.8456	29.8891	29.1094	29.7668	28.9934	30.0185	28.9181	29.3723	29.7205	29.1225	29.7314	28.9817	29.2785	28.9372	29.3775
Q5SYZ4	CRABP2	27.2249	28.2273	29.3656	30.231	29.6296	30.2252	28.6266	29.1561	28.4917	29.2011	27.6437	28.3939	27.7334	28.6962	28.9093	27.3264	27.6595	28.9594	29.1625	28.4011	29.0309	27.9367	28.5245	27.9992	28.626	28.1413	28.7049	28.2527	28.7032	29.3138	29.5788	29.201	30.0602	27.8902	28.5519	28.9853	28.5198	28.9356	27.246	27.8719	27.2598	28.1399
P43155-2	CRAT	26.3513	25.4713	25.4819	25.8814	23.499	25.9545	25.5667	25.9078	25.7323	26.1533	25.5886	25.8159	26.0632	26.2113	26.1404	26.1967	26.0427	25.8169	25.9812	25.9052	26.186	25.6026	25.4265	25.448	25.5705	25.727	25.7481	25.3743	25.7285	25.9384	26.2211	25.8952	26.3158	25.6865	25.6262	26.164	25.8639	25.7914	26.1824	26.2722	26.0086	26.2843
Q53X93	CREB1	23.4953	24.2306	22.6042	22.7232	23.8372	23.0271	22.4713	21.3929	22.4429	23.4117	21.5953	22.8292	23.805	21.6363	23.8412	23.3421	24.1765	23.9129	23.5211	23.7413	21.0201	22.2132	22.4291	22.3871	21.5398	22.2411	22.5903	22.2614	22.325	21.9917	22.8619	23.1238	23.4545	22.4686	23.3472	22.7383	23.6776	22.2043	24.1854	22.6735	22.7461	22.5672
A0A024R2G1	CRELD1	23.0614	24.7553	22.203	21.3561	22.9519	20.7646	22.4204	22.1017	21.5332	22.9194	23.1074	21.173	23.2938	22.2707	23.3282	22.658	22.6665	22.3921	21.6046	22.9556	22.9706	22.4414	23.2082	21.3286	22.4917	23.1542	22.9594	23.1976	22.6216	22.6154	23.917	23.2849	22.9468	22.8201	22.4191	21.636	23.5009	22.6158	22.6284	22.6534	21.9791	22.8076
P50238	CRIP1	25.8324	26.987	23.0157	24.6704	23.3475	22.5851	26.2982	26.0225	26.1426	26.5025	22.8138	26.4547	26.8244	26.4378	26.1545	26.3917	27.074	25.5779	26.5005	25.7311	26.1927	26.4573	26.4448	26.5076	26.2815	26.1707	25.8207	25.928	26.6355	23.0613	21.6227	24.1193	23.8145	25.7873	26.0235	25.8888	26.1265	25.996	26.6039	26.6942	26.4831	26.198
Q53FN1	CRIP2	27.767	27.971	27.6749	27.4849	27.9183	27.4662	28.373	28.1381	28.4521	28.4704	28.1858	28.3863	28.5244	28.3684	28.4962	28.4746	27.8386	28.446	28.1512	28.1723	28.2562	28.5865	28.5701	28.4301	28.5567	28.4438	28.3588	28.2385	28.5877	27.0519	27.6705	27.6747	27.7171	28.2042	28.4103	28.5861	28.4915	28.3483	28.9036	28.5322	28.4731	27.9842
L7RT18	CRK	26.5397	27.326	27.0644	26.3813	26.8305	26.8791	27.3197	26.9218	27.3572	27.112	27.0601	27.3671	27.4866	27.1983	27.41	27.4509	27.494	27.3659	27.131	27.163	27.1478	27.3649	26.9146	27.4758	27.2186	27.1691	27.3998	27.571	27.1725	26.8464	26.4633	26.7249	26.2551	27.0473	27.1903	27.4088	27.3731	27.276	27.7297	27.7828	27.6962	27.5192
P46109	CRKL	23.8704	25.248	25.6483	23.1395	22.508	24.8777	25.2684	25.1486	25.0382	25.1013	25.4856	24.5062	25.559	24.7844	25.1007	24.9769	23.72	25.1896	25.2682	25.4275	25.2344	25.5628	25.2534	25.3035	25.2817	25.6278	25.3861	25.8908	25.3299	24.3903	24.9573	25.7043	24.6129	25.4359	25.4282	25.3305	25.2577	25.3159	25.5612	25.5156	22.9598	23.5128
Q8IUI8-2	CRLF3	23.3029	23.6051	22.951	21.6632	23.781	22.1551	22.2355	22.0032	22.1748	24.1436	23.3303	22.7651	22.9335	22.2568	22.4654	22.8469	23.4499	22.4546	22.1403	22.0558	21.2794	22.4821	22.0788	21.6043	21.319	23.392	24.1207	21.8477	21.7327	23.1644	21.665	23.186	23.7319	22.792	21.9732	23.2304	22.1213	23.592	22.5569	22.6351	21.6712	24.0655
Q6PKC2	CROP	22.8646	24.8542	24.687	24.8578	24.6976	24.3849	24.7611	23.6906	24.7886	24.4917	24.7353	24.2314	23.3592	24.6761	24.6934	21.5943	23.5658	24.2263	24.8247	24.8149	24.5023	24.5658	24.0062	24.3261	24.8707	24.0045	24.5868	25.2838	24.1093	24.6287	24.6523	24.7979	24.3462	24.5219	24.53	24.5303	24.4103	24.672	21.8269	22.6301	23.0084	23.292
Q8NB01	CRTAP	26.9633	27.5481	27.6193	27.5779	27.4411	28.0002	27.1691	27.5956	27.1898	27.2799	27.2338	27.2917	27.7589	27.1049	27.3379	27.5379	27.8431	27.2658	27.1602	27.0597	27.1771	27.1978	27.1954	27.1621	27.2646	27.2113	27.3688	27.5188	27.8004	27.8157	27.3997	27.5533	27.4727	26.8898	26.9936	27.3748	27.1601	27.217	27.5921	27.5978	27.5122	27.3635
Q08257	CRYZ	29.9562	29.4389	29.295	28.9966	29.4769	29.1273	29.2462	29.0292	29.1983	29.2005	28.9567	29.3412	29.416	29.244	29.26	29.5257	29.5388	29.1291	29.0141	29.281	29.0138	29.3691	29.229	29.2633	29.1668	29.3767	28.9263	29.3757	29.2673	29.4736	29.0176	29.654	29.2023	29.1339	29.2086	29.1288	29.2926	29.0637	29.5823	29.3165	29.6886	29.3877
C9JQD0	CRYZL1	23.0058	22.5654	22.884	23.7718	24.2123	23.5919	22.0499	23.7848	21.8997	22.9101	22.2487	22.8902	22.9909	22.7019	21.7589	23.4144	23.6212	22.6737	22.5644	22.8902	22.5989	21.6804	22.4032	22.5411	23.6795	22.9718	21.4782	23.6236	22.8764	24.186	23.1287	21.9648	22.5041	21.5036	23.3934	22.6361	22.5898	23.0032	22.9418	21.8809	23.437	23.5154
B4DJV2	CS	28.649	28.5195	28.895	29.1135	29.3461	28.9434	28.4083	28.5369	28.3611	28.52	27.2006	28.6479	28.8204	28.3744	28.4668	28.521	28.7915	28.4094	28.3995	28.5127	28.6614	27.8013	28.1291	28.3275	28.0686	27.8961	27.9476	28.2305	27.8287	29.011	28.9039	28.9849	29.1551	27.6533	28.3375	28.5133	28.4682	28.3664	28.6314	28.5834	28.6269	28.72
Q9UK43	CSA2	23.5168	24.3818	23.9637	23.8451	24.0896	23.8546	22.8246	21.6311	21.4172	22.0969	24.5635	24.297	22.4114	22.9924	22.6217	22.5085	21.9367	23.3576	23.093	22.8926	23.1053	24.5503	24.1057	24.1865	20.5881	24.1828	24.0456	24.8555	24.4487	22.4534	23.6257	22.9039	21.9323	24.5278	24.1895	22.5962	22.3236	22.7975	22.7106	22.4258	23.429	23.3028
A0A024RAQ1	CSDA	28.4597	28.6972	28.9699	29.1859	29.1993	29.2782	28.7211	28.5967	28.8704	28.7959	29.2556	28.7029	28.3008	28.5024	28.8984	28.3405	28.6848	28.8182	28.9742	28.7619	28.9146	28.5682	28.5807	28.4354	28.7816	28.5038	28.6524	28.4624	28.9325	29.2791	29.1496	29.1483	29.112	28.7627	28.6943	28.7866	28.7874	28.6938	28.763	28.596	28.7493	27.9188
Q9GZV0	CSDE1	27.6824	27.8796	27.4809	27.4634	27.412	27.4491	27.0586	27.2039	27.309	27.2522	27.583	27.0902	27.8322	27.164	27.2387	27.4495	27.8091	27.2379	27.3235	27.0723	27.149	26.9895	27.0776	27.0909	27.1464	26.965	27.0366	27.2184	26.9932	27.5945	27.4568	27.4725	27.6577	27.1585	27.2452	27.333	27.1435	27.2224	27.895	27.7443	27.7451	27.6455
P55060-3	CSE1L	27.7197	28.173	28.064	28.0127	28.0771	28.0282	27.5207	27.6743	27.4782	27.81	27.7496	27.6791	27.7177	27.5382	27.7405	27.5957	27.4998	27.6506	27.5899	27.5782	27.7522	27.8743	27.6881	27.6607	27.6808	27.7153	27.8658	27.9761	28.0065	27.7848	28.0605	27.9252	27.848	27.7863	27.8302	27.6109	27.7795	27.8485	27.6608	27.4789	27.6404	27.3771
Q53EL3	CSK	23.004	24.0879	22.5191	22.7094	22.6702	23.0775	21.9986	23.5963	24.324	23.1887	22.1729	22.0923	21.274	23.172	24.0872	23.2196	21.9393	22.5825	23.9624	23.0759	24.0187	24.2799	23.6695	24.0503	24.2465	23.2745	24.2613	23.4169	23.6052	23.7745	23.6881	22.7635	24.0456	24.0561	22.1756	20.9503	24.1847	22.988	22.633	23.1889	23.1244	22.8792
Q2I0Y7	CSNK2A1	24.7112	25.641	26.6988	26.7011	26.3073	25.6227	25.3818	25.8924	25.3784	25.4746	25.2193	25.8082	25.7205	25.5793	25.5609	25.5183	24.8835	25.5303	25.6809	25.7468	25.61	25.1696	26.0958	25.3538	25.3059	26.1473	25.7656	26.8949	25.4016	26.4065	26.2772	26.2838	26.1349	25.1308	25.7314	25.7819	25.7802	25.8553	25.2641	25.3256	25.9385	25.731
P19784	CSNK2A2	24.6594	22.7646	24.8692	24.7141	23.312	21.8661	24.7322	24.5493	23.5852	24.7245	24.4726	24.2891	23.5041	24.5939	24.5826	24.5446	22.768	24.244	24.1434	24.2905	24.3615	24.4601	24.358	21.7211	24.4493	21.781	22.4321	22.5611	23.1704	23.2117	21.9033	24.3691	22.9741	24.1192	24.6098	24.548	24.2797	24.0357	24.3406	24.1193	20.8455	24.7533
N0E4C7	CSNK2B	25.6198	25.6722	22.651	24.5669	23.4185	24.1222	21.884	23.3006	24.2327	24.0614	24.1323	24.2459	24.6307	23.9621	24.3088	24.794	24.4801	23.6538	24.3147	24.2876	23.964	24.4966	24.6183	24.4403	24.5397	24.8707	24.2659	25.1407	24.9336	23.8682	23.9497	23.3338	21.2413	23.794	24.695	23.7176	24.2647	24.4958	24.6825	24.8113	24.89	24.5143
B4DY28	CSRP1	29.9814	29.9453	29.8598	29.688	29.6697	29.9188	30.9995	31.1763	31.2657	31.0976	31.6931	30.5211	30.0007	31.2808	31.267	30.2885	30.3645	31.2924	31.0485	30.4683	30.4636	31.3645	31.1946	31.3583	31.2423	31.5495	31.4838	31.4378	31.7582	29.7407	30.0421	29.6355	29.7602	31.2735	31.2687	31.3185	31.2671	31.1778	30.1182	29.9997	30.2052	29.7675
E9PND2	CSRP1	30.0022	29.7174	29.7477	29.7606	29.625	29.9973	30.742	30.8992	31.0948	30.8877	31.5022	30.2795	29.808	31.123	31.0305	30.1333	30.3157	31.0845	30.8208	30.3937	30.372	31.0449	30.8619	30.9649	30.979	31.3637	31.1603	31.096	31.4794	29.6985	29.9657	29.3634	29.7294	31.0965	31.0479	31.1417	31.001	30.8889	29.903	29.7173	30.1576	29.5438
A0A024RBB5	CSRP2	29.4734	29.534	28.6948	28.9034	28.4315	28.8035	28.8767	28.7291	28.8912	28.9783	29.7196	28.6309	28.7063	29.0249	29.446	28.7041	28.9545	29.1772	28.7134	28.4695	28.5455	29.1139	29.2961	29.0813	28.9783	29.7292	29.5946	29.8845	29.7721	28.4845	28.7141	28.666	28.7523	29.3826	28.9273	29.1388	29.0476	29.0505	28.5772	28.5763	28.9964	28.8386
P01037	CST1	24.788	22.4278	22.9692	22.6633	23.5271	22.8897	24.4416	22.4169	22.8019	24.8899	26.4535	24.0899	24.079	22.4605	23.4825	23.0881	22.9557	21.8426	22.2698	22.9768	22.2724	22.5315	22.4742	25.0634	22.2293	24.8773	22.7264	23.4541	21.5389	22.9224	22.4125	22.6131	21.7421	27.6004	23.2189	23.4401	24.1632	22.6134	22.6268	22.0389	23.3524	23.314
P09228	CST2	24.953	22.4272	22.4136	22.9193	23.1421	22.1621	21.9736	23.2557	22.317	21.8107	26.629	22.3463	22.0616	21.9813	23.4055	22.754	24.1918	20.9475	21.6674	22.2585	22.8949	21.4797	22.7911	21.532	22.2617	26.1408	22.4283	22.0291	22.0892	24.6075	23.6581	24.5309	24.8396	27.4377	22.5666	23.1047	23.7296	22.6961	23.3037	24.3055	23.4241	23.4644
P01036	CST4	23.8416	24.8329	24.6815	24.4244	23.4012	22.3801	22.7489	21.8116	22.4859	22.9534	27.2787	22.5048	22.8721	21.7309	23.4374	23.0095	24.221	22.6355	23.5319	22.2926	23.0396	23.2041	23.0857	25.6775	23.4376	25.6097	21.4835	23.1219	22.1388	22.2691	23.4546	22.8941	23.4865	27.9134	21.6504	22.3799	22.5708	22.5285	24.1955	23.877	21.9744	24.4421
Q6IBD2	CST6	23.5164	23.0408	21.095	23.6738	23.812	22.5907	22.0537	22.488	23.3784	21.6097	25.0178	21.54	21.997	21.7477	21.8377	22.663	22.7976	21.6928	23.0209	21.0195	22.0648	23.5999	23.657	25.3332	24.3614	22.8674	23.515	21.9151	23.9812	24.7752	21.9756	24.707	22.447	25.8042	22.3271	23.1292	23.0604	23.0746	23.5884	24.0673	23.739	24.01
P01040	CSTA	27.2245	27.1138	28.218	28.3903	28.5764	27.415	29.6259	29.2339	28.451	28.582	31.8184	27.3291	26.8113	28.8284	29.0423	27.2311	27.705	29.1028	29.3558	27.9838	27.7157	30.8489	31.061	31.6376	30.4236	31.1848	30.7119	31.7966	31.1234	29.0434	28.3875	29.0058	28.5099	32.2705	28.8996	28.5085	29.62	27.8798	28.4281	27.2032	27.2587	28.2684
Q76LA1	CSTB	29.3941	30.1262	31.2034	30.9796	31.1977	30.9148	30.4632	30.1535	30.2483	29.9448	29.7196	30.3065	30.4275	30.4213	30.2381	30.7728	30.2089	30.1044	29.6728	30.4132	30.4172	30.4417	29.9351	30.4662	30.4955	29.7307	30.5675	30.5786	30.3039	31.3574	30.695	31.0935	30.8343	30.2955	30.2693	29.9432	30.0683	30.1133	30.6263	30.1884	30.4988	29.968
Q05048	CSTF1	24.3033	23.8578	22.779	22.1061	23.7051	22.9099	22.4157	22.3222	20.8645	22.2768	23.1121	22.2012	23.9034	22.4046	21.5748	22.1782	23.1711	22.9649	23.6224	21.9424	22.7881	21.988	23.6767	23.0055	21.6386	22.3332	21.9278	22.8197	22.6756	23.8842	23.4555	22.6053	22.3645	21.8571	21.8569	23.5589	24.2685	22.2529	21.5826	23.2961	22.8812	21.4839
Q59FD2	CTAGE5	24.4341	24.2162	21.4543	23.6253	23.7497	23.2457	22.988	23.0583	21.5794	23.3741	23.3427	22.7588	23.1242	23.4998	24.1061	24.5589	24.2949	23.4509	22.8586	21.2981	23.3619	23.1879	23.245	23.4361	22.6721	23.3893	23.195	22.1568	22.9303	23.9801	21.6152	22.9339	22.0716	23.3627	23.6293	23.8091	23.0974	22.6569	24.0768	23.6554	22.3353	23.032
X5D8Y5	CTBP1	27.0787	26.9687	26.7296	26.5905	26.5803	26.3157	26.6769	26.4375	26.4849	26.2964	26.2693	26.1351	26.6348	26.562	26.3726	26.7715	26.4031	26.3334	26.4043	26.1444	26.2286	26.1379	26.051	26.0126	26.1483	26.0335	25.9656	26.4921	25.9333	26.6925	26.5057	26.1775	26.9136	26.4075	26.4678	26.3993	26.612	26.1536	26.4587	26.694	27.0889	26.9016
Q5SQP8	CTBP2	26.8469	26.6608	23.9196	23.7163	22.6754	26.1357	26.0679	23.4353	26.383	25.9402	21.2971	21.2464	21.2265	21.4568	22.9827	25.9587	26.2627	23.3474	26.0846	25.8283	26.1793	26.0105	24.738	24.9392	25.7306	25.5422	25.428	22.7153	25.5196	22.2569	26.3516	25.8322	26.4124	26.1166	23.1637	25.8334	22.3608	25.7745	25.9687	26.1619	25.467	26.0174
P49711	CTCF	23.2613	22.6417	23.5891	23.8779	22.5799	22.9907	22.0189	22.3523	22.3125	22.9577	22.4778	23.7173	23.0204	23.3108	22.9205	23.0837	23.4093	22.9671	22.9401	23.6418	23.3496	21.7471	23.1802	23.6306	23.0073	23.2886	22.8767	24.1129	22.0323	23.3398	23.0231	25.1913	23.0572	23.1428	21.8677	23.2561	23.7296	21.0277	23.336	21.8832	22.2356	23.4396
B3KRV6	CTGF	25.5413	22.9259	21.9655	22.962	24.0847	23.5618	23.1225	21.5093	23.2793	21.0317	27.0242	23.2286	22.7672	21.239	22.8793	23.0748	23.8049	22.7348	21.9831	24.8077	22.6342	23.0407	21.9377	24.1815	21.4867	21.3177	23.0141	24.2246	22.9009	22.7207	22.855	24.5658	23.2817	23.2346	24.0796	23.0678	23.3229	22.1451	22.2815	23.1225	23.0112	23.3757
Q96CG8-3	CTHRC1	24.5124	25.9723	24.909	26.3951	22.4643	26.467	24.9747	26.3767	25.0094	26.2286	26.4219	24.6436	25.4547	24.7903	26.0052	23.1007	22.3387	25.643	26.5684	22.6994	25.9816	25.2671	26.2618	25.307	26.2895	25.155	26.3932	25.2108	26.4153	23.1858	26.4754	25.2447	25.4115	24.5252	24.9629	26.3302	24.6975	26.3097	22.002	25.4218	23.6474	25.3952
P35221	CTNNA1	29.3171	29.5171	28.7828	28.8682	28.9219	29.0035	28.506	28.8457	28.6391	28.7807	29.0645	28.7165	29.2486	28.7293	28.7807	28.9381	29.3068	28.6642	28.5815	28.6121	28.7905	28.7449	29.0345	28.7582	29.0066	28.8395	28.8223	28.9774	29.1382	29.0047	28.6656	28.7618	28.8279	28.585	28.7338	28.8826	28.653	28.8122	28.8382	29.0808	29.091	29.0655
A0A024R2Q3	CTNNB1	28.253	28.4945	28.2936	28.2148	26.9686	28.3942	27.7171	28.4608	27.9498	27.771	28.1081	27.8748	28.3877	27.3894	27.8483	28.5467	28.6781	27.8248	27.7626	27.7376	28.0286	27.9684	28.0506	27.7858	28.2687	27.9474	28.3265	28.0034	28.2959	28.2656	28.0696	28.234	28.4496	27.917	27.824	27.978	27.5365	27.9558	28.3651	28.4204	28.2956	28.3512
C9JZR2	CTNND1	27.5031	27.5319	27.1054	26.8775	26.9312	27.2468	26.9101	26.8902	26.9247	27.0293	27.3368	26.7095	27.2946	26.6588	26.9192	27.3284	27.2364	26.9395	26.7979	26.8292	26.9805	26.8933	27.1091	26.8025	27.0325	27.0213	26.9605	27.0412	27.2513	26.6531	27.6274	27.4134	27.1443	26.7909	26.7769	26.8791	26.9771	27.0086	27.1199	27.0594	27.2643	27.007
P17812	CTPS1	25.8669	25.5718	26.3471	26.2225	25.3627	26.0107	26.3734	26.0579	26.0049	26.2058	26.2879	25.8969	25.6748	26.0631	26.3315	25.2502	25.3691	26.006	26.1921	25.4681	25.9365	26.0921	25.9683	25.9631	26.3637	25.7396	25.9555	25.4114	26.4399	25.8708	25.8891	25.9408	26.2872	25.8703	26.1247	25.9277	25.8076	26.1209	26.1073	25.9947	26.0727	25.2383
A0A024RC00	CTPS2	25.4667	23.9271	23.5422	23.9326	24.3048	24.2489	24.0251	24.2757	23.8503	23.975	23.9076	23.7903	22.1699	21.5577	21.6921	22.7849	22.4595	24.1037	23.8555	23.9119	23.8672	23.9705	23.8326	24.0502	22.6661	21.8129	23.8868	24.015	23.9054	23.7529	24.3249	22.4947	21.866	22.9063	23.9041	23.731	23.8546	23.9591	24.4382	22.9022	20.8155	22.7678
B4E324	CTSA	28.6368	24.1616	28.9412	28.1993	27.8902	28.0244	27.7895	27.5722	27.7099	27.5725	27.2602	27.5883	27.6313	28.096	27.6166	27.3438	28.1118	27.9698	27.5909	27.6508	27.247	27.1056	27.1733	26.9207	26.7859	27.1408	26.968	27.4428	26.8625	28.1197	28.2135	26.9282	28.8059	27.6344	27.718	27.6391	27.685	27.564	28.1771	28.059	27.8405	27.8822
B4DL49	CTSB	31.0706	30.7891	31.4479	31.3532	31.399	31.0736	32.1025	32.0309	32.2463	32.1339	32.1213	31.9444	31.0567	32.2429	32.1861	31.6804	31.107	32.1379	31.8563	32.1804	31.97	32.0403	31.8787	32.1261	32.0756	32.1635	31.8402	32.0106	32.3383	31.2954	31.4249	31.3733	31.5724	32.1248	32.1872	32.0985	32.1317	32.0558	31.5343	31.3551	31.1301	30.995
B4DJQ8	CTSC	25.5075	26.5489	28.0032	27.6174	27.9187	27.5177	27.505	27.5254	27.6068	27.545	27.7019	27.1518	26.1809	27.5592	27.6349	26.6447	26.4226	27.6435	27.2849	27.1655	26.9566	27.4569	27.5146	27.4795	27.4238	27.5455	27.4774	27.9247	27.7012	28.158	27.7424	27.9313	28.0647	27.7535	27.6192	27.5947	27.6356	27.4244	26.4724	26.8876	26.9148	26.1463
Q6FHN2	CTSK	30.8833	30.224	29.227	28.6888	29.2084	29.0735	30.59	30.0692	30.6999	30.0719	29.9218	30.5116	30.1155	30.6823	30.3591	30.7714	30.2608	30.3722	29.731	30.3377	29.7316	30.8305	30.3807	30.9592	30.3698	31.0243	30.4146	30.8163	30.6549	29.5336	28.8798	28.8982	28.81	30.2661	30.5058	30.2742	30.5677	29.9869	30.8309	30.3657	30.6704	30.2523
B3KQK4	CTSL1	27.256	26.9653	27.729	27.4296	27.6075	27.6338	27.6659	27.2287	27.6824	27.2597	26.8275	27.773	26.8243	27.8692	27.7173	26.7728	27.4805	27.4164	27.1913	27.5953	27.2365	27.6023	27.3184	27.8847	27.2228	27.7486	27.149	28.05	27.7613	27.6404	27.3975	27.7693	27.6043	27.3617	27.7414	27.5051	27.6127	27.1216	27.0552	26.7807	27.4825	26.494
B2R717	CTSL2	28.2022	22.9804	22.3979	22.35	21.9509	22.2561	27.9633	27.7214	27.922	27.6275	27.6128	28.104	25.6165	28.2275	28.1093	27.5193	22.6136	28.0921	27.1786	28.1048	27.4868	28.2701	27.7744	28.096	27.6242	28.2603	27.5491	27.8541	28.0861	21.9711	22.6247	23.6016	24.3828	28.0944	27.8274	27.5887	28.1876	27.3829	26.7136	25.9841	27.5284	26.2884
Q9UBR2	CTSZ	28.3935	29.7429	28.2333	28.3939	28.2529	28.4698	28.8399	29.0134	29.229	29.1505	28.3436	28.6634	27.5033	29.223	29.1081	28.8188	27.9956	29.03	28.7102	29.0243	29.0461	28.5828	28.6485	28.6024	28.7179	28.6047	28.4859	28.4872	28.3779	28.3509	28.377	28.6658	28.2877	28.6116	28.81	29.3454	29.1181	28.8132	28.3616	28.0174	28.7835	28.1204
Q14247	CTTN	31.8675	31.8118	31.4952	31.4271	31.2855	31.2204	31.1675	31.098	31.187	31.1132	31.6643	31.2673	31.3882	31.377	31.2723	31.6071	31.621	31.1954	31.0823	31.3277	31.2745	31.5099	31.32	31.3916	31.3248	31.5938	31.4972	31.627	31.6081	31.4393	31.3814	31.4411	31.4533	31.358	31.3079	31.1347	31.2447	31.1276	31.4922	31.4297	31.5513	31.4023
B4DLA3	CUL1	24.9483	25.9393	25.258	25.1546	25.5833	25.8078	25.2154	25.3467	25.3893	25.3899	25.1012	25.3789	24.786	25.3832	25.5235	24.9547	25.2573	25.3356	25.3931	25.7168	25.4241	25.2667	25.0581	25.0599	24.9707	24.4095	24.9687	25.1213	24.933	25.825	24.9416	25.3749	25.2046	25.2157	25.3866	25.5491	25.2279	25.3142	25.0825	25.3247	25.5411	25.2296
A0A140VKB1	CUL2	24.2932	22.9305	24.7157	24.7455	23.6972	23.2543	26.0435	25.7913	26.0012	25.4654	26.0439	25.8109	25.1668	25.8308	25.4844	23.3661	22.4108	23.1876	25.994	25.3256	25.4084	26.3462	25.6254	26.0908	25.7958	26.0425	26.2998	26.2172	25.9292	22.4958	24.4878	23.0875	24.058	25.8793	25.7911	26.2399	25.585	25.8035	26.1675	25.9139	22.97	24.2372
Q53S54	CUL3	24.3701	23.3527	24.9799	25.2546	25.1377	24.7367	22.7826	24.8002	22.1602	21.7698	22.4148	23.6549	22.8887	22.423	23.0164	23.9017	24.1204	22.4416	23.0442	22.4615	23.8748	22.482	23.4364	22.5384	23.2417	21.6566	22.9434	23.4766	20.4053	24.9354	24.6192	25.0587	24.8447	22.1572	23.3778	23.6941	23.0834	22.9495	22.6023	23.1724	22.0568	25.4221
