Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
P26447	S100A4	31.5564	31.3105	33.4847	33.5545	33.4537	33.7814	32.4258	32.4198	32.03	32.4572	30.0702	32.1415	31.1377	32.2754	32.1878	31.5663	31.6705	32.5012	32.3679	31.9975	32.4189	30.2945	30.5697	30.599	30.8149	29.8656	30.7526	29.8911	30.0103	33.4639	33.3272	33.6249	33.6721	31.5019	31.962	31.9994	32.038	31.9761	31.1413	31.3936	31.6185	32.3774
R4GN98	S100A6	35.2002	34.2399	34.1385	31.4471	32.3927	34.3006	34.2344	33.8999	34.0317	33.7662	34.1459	34.3939	34.001	34.2437	34.4381	34.3465	34.6188	34.1035	33.872	34.2113	34.1147	34.849	34.9901	34.755	34.9386	34.9231	35.1387	34.6859	35.1112	33.976	33.65	33.5799	34.8364	34.4578	34.2812	34.1132	34.3178	33.9948	34.4202	34.3551	34.5818	34.2569
P31151	S100A7	23.6008	23.5247	27.4514	27.4362	27.4842	26.992	26.724	26.7078	26.6375	26.843	28.7806	25.6137	22.3715	27.1063	27.9731	22.9003	23.1649	27.0937	26.9352	26.2118	26.3098	28.0389	28.4229	28.4305	27.7004	27.8879	28.2642	27.6329	27.9191	27.6618	27.2313	27.1948	27.4022	28.672	26.6305	27.3172	27.2405	25.6896	23.4514	22.3034	23.678	27.0285
P05109	S100A8	23.2449	25.9769	27.1793	28.7858	27.4251	27.1029	26.9639	26.5962	26.6447	27.3905	27.7015	25.4772	23.9579	27.133	27.6333	25.3749	21.7789	27.3952	27.4859	25.7079	25.8956	27.1281	27.3217	28.4711	26.3302	26.9335	27.2172	26.971	27.0174	27.5527	26.9777	27.8375	27.8301	28.1457	26.4978	26.8935	26.8275	26.2783	25.6043	25.3506	26.0921	27.0661
P06702	S100A9	24.9055	25.5822	27.1274	29.1505	27.3848	26.5092	28.0536	26.9553	27.1471	27.4832	28.9436	26.2624	23.7924	27.4878	28.2095	23.602	21.7551	27.6433	27.9241	26.1623	26.7914	28.1145	28.401	29.5401	28.2573	28.1054	28.4094	27.4701	27.3507	27.6373	26.9638	27.8599	28.0406	28.9925	27.1414	27.3034	27.261	25.7349	25.2049	25.1444	23.864	27.1333
Q9NTJ5	SACM1L	27.2015	27.4389	26.7804	26.9991	27.2246	26.2486	26.6583	26.4655	26.5446	26.5035	26.8683	26.2365	26.6017	26.851	26.5107	26.5961	26.6431	26.4845	26.616	26.8105	26.3437	26.4341	26.4279	26.5843	26.3266	27.0669	26.424	26.9078	26.7691	27.0862	26.6227	26.9121	26.4795	26.8682	26.6779	26.5171	26.5273	26.5164	26.5346	26.6258	26.6697	26.6687
A0A024R0R4	SAE1	27.6272	27.2939	25.7734	26.3781	27.8519	24.7267	26.9523	26.5714	27.0813	26.9857	27.3421	27.79	27.8296	27.1708	27.3082	28.0691	27.8468	27.1553	26.8955	27.3716	27.4784	26.8271	26.3138	26.627	26.4862	26.9267	27.1746	26.6588	26.6678	26.7705	27.0802	26.6791	21.8896	27.2223	27.0157	27.5076	27.0902	27.3143	27.7878	27.715	28.0346	27.1655
B7ZLP5	SAFB	27.7649	27.7148	26.8551	27.1689	27.2056	27.3044	26.7802	27.1293	27.1365	27.1943	27.2524	27.3825	27.4951	27.3179	27.3975	27.7819	27.6301	27.2892	27.2781	27.4991	27.1874	27.7066	27.8703	27.6945	27.4067	27.3818	27.6043	27.7173	27.9543	26.9628	27.2567	27.306	27.3568	27.4202	27.1226	27.2609	27.2645	27.2738	27.4182	27.7618	27.315	27.2197
Q14151	SAFB2	27.1604	23.6822	25.5788	26.0451	25.9472	26.1781	25.9216	25.774	26.0998	26.1258	26.2539	26.1806	26.2246	26.3326	26.2096	21.8897	26.2023	26.0863	26.2784	26.4815	26.1774	26.6786	26.7025	26.511	26.5378	26.3604	26.7042	27.0487	27.0587	26.013	25.8941	25.7571	26.0503	26.347	25.9825	26.2014	26.294	26.2757	25.7598	26.0617	23.451	22.408
Q9Y3Z3	SAMHD1	24.8274	25.495	22.6928	24.7994	24.9693	24.978	24.3727	24.8265	24.544	24.7419	24.02	24.6453	24.8611	24.1862	24.8994	24.8694	24.8285	24.7209	24.9233	24.5585	24.8218	23.0216	24.5929	24.5777	24.9465	24.5123	24.6255	24.9301	24.7176	24.5917	24.6561	23.632	25.0506	24.796	24.5096	24.9626	24.4738	24.9284	24.2113	25.0376	24.7648	24.9648
